,min,max,Q1,Q2,Q3,std,Q3-Q1,range
m_1_L,-0.2899852731037733,-0.2899852731037733,-0.2899852731037733,-0.2899852731037733,-0.2899852731037733,5.822058658345462e-17,0.0,0.0
m_1_B1,-0.3418464888768991,-0.3418464888768991,-0.3418464888768991,-0.3418464888768991,-0.3418464888768991,1.1644117316690923e-16,0.0,0.0
m_1_B5,-0.284520038265269,-0.284520038265269,-0.284520038265269,-0.284520038265269,-0.284520038265269,5.822058658345462e-17,0.0,0.0
p_L,-0.4672594560292097,0.0860316276313948,-0.4672594560292097,-0.1598755206622072,-0.018137372687422805,0.23084926511594456,0.4491220833417869,0.5532910836606045
p_B1,-0.3600064605992036,3.092226286391174,-0.3600064605992036,0.1960578744864948,0.43933602108648784,1.2921540850990751,0.7993424816856914,3.4522327469903775
p_B5,-0.5043416996906498,0.8844748476126373,-0.5043416996906498,-0.2023023286307885,0.09126864884795499,0.517157550877581,0.5956103485386048,1.388816547303287
m_2_L,-0.3069629710246108,-0.3069629710246108,-0.3069629710246108,-0.3069629710246108,-0.3069629710246108,5.822058658345462e-17,0.0,0.0
m_2_B1,-0.3491799364457628,-0.3491799364457628,-0.3491799364457628,-0.3491799364457628,-0.3491799364457628,1.1644117316690923e-16,0.0,0.0
m_2_B5,-0.3119155677637267,-0.3119155677637267,-0.3119155677637267,-0.3119155677637267,-0.3119155677637267,0.0,0.0,0.0
o_L,-0.8331048106579002,-0.1597655549023414,-0.8331048106579002,-0.2225640347137407,-0.1597655549023414,0.32170897685758,0.6733392557555589,0.6733392557555589
o_B1,-1.0062153725953489,3.6804448497055815,-1.0062153725953489,-0.2648227950562183,3.6804448497055815,2.200339870432874,4.68666022230093,4.68666022230093
o_B5,-0.8997565480502119,-0.2803771781767745,-0.8997565480502119,-0.305831124883902,-0.2803771781767745,0.3002783141158305,0.6193793698734373,0.6193793698734373
Charge_O,-0.3683631816891075,0.5348225373758488,-0.2252791250859943,-0.050987197787156,0.48913352372813457,0.3793745297977895,0.7144126488141289,0.9031857190649564
Charge_next_O,-2.137936817340287,-0.6580435810160927,-2.039231510825147,-1.44098583848967,-0.8940701939296978,0.6289906954879659,1.1451613168954493,1.4798932363241941
Charge_o_1,-0.3135691137266231,1.1854060315142796,0.061281154829280995,1.0246669861917324,1.1516593505761983,0.6399333216983828,1.0903781957469172,1.4989751452409026
Charge_m_1,-0.8174990099243932,-0.5096789919942144,-0.6823319744803144,-0.6452441239495167,-0.5676329974392147,0.10727896916382479,0.11469897704109966,0.30782001793017877
Charge_p,0.6613272029084594,3.002944678671896,0.7469204313780837,0.8102892151095005,2.881125774888086,1.1111241803095324,2.1342053435100024,2.3416174757634365
Charge_m_2,-1.127815068854266,-0.4604130069021467,-0.8440099573163669,-0.7400406926839064,-0.5845698314087726,0.2316459170170672,0.25944012590759424,0.6674020619521194
Charge_o_2,-0.8016557447990322,1.9800599971175707,-0.6795170397515248,0.3947915336261549,1.205045657055687,1.1272155850938999,1.8845626968072118,2.781715741916603
HOMO,0.1572337144892024,1.1464365340588598,0.3708904244663791,0.763519313580282,0.9116222602690083,0.36134647435721523,0.5407318358026292,0.9892028195696574
MolLogP,-1.20985074981033,0.6951085813415573,-1.0621632974547368,-0.6472353241985669,-0.02923258829092885,0.7120353490095971,1.032930709163808,1.904959331151887
MolWt,-1.84371458340928,-0.8527127948946037,-1.7379109360304317,-1.34873178613983,-1.0421361186254514,0.3910037101543636,0.6957748174049803,0.9910017885146764
num_N,-1.164758519549028,-0.4205319076196737,-1.164758519549028,-1.164758519549028,-1.164758519549028,0.3010544876425532,0.0,0.7442266119293544
num_O,-1.3285968464675062,-0.5168215630659454,-1.3285968464675062,-0.5168215630659454,-0.5168215630659454,0.40956090789979155,0.8117752834015608,0.8117752834015608
num_S,-0.3803344302566363,-0.3803344302566363,-0.3803344302566363,-0.3803344302566363,-0.3803344302566363,5.822058658345462e-17,0.0,0.0
num_F,-0.2116436181306902,-0.2116436181306902,-0.2116436181306902,-0.2116436181306902,-0.2116436181306902,0.0,0.0,0.0
num_Cl,-0.3968360899009251,-0.3968360899009251,-0.3968360899009251,-0.3968360899009251,-0.3968360899009251,5.822058658345462e-17,0.0,0.0
num_Br,-0.3518791269209797,-0.3518791269209797,-0.3518791269209797,-0.3518791269209797,-0.3518791269209797,0.0,0.0,0.0
