,K3FeCN6,MesAcr+BF4-,CuCl,Diacetyl,T(p-OMe)PPCo,Electrode
m_1_L,0.0,0.7339964152323768,0.0,0.7339964152323768,0.0,1.4248165707452016
m_1_B1,0.0,2.17891432213354,0.0,2.17891432213354,0.0,3.980708857743968
m_1_B5,0.0,0.6801650569477522,0.0,0.6801650569477522,0.0,0.6273367030100627
p_L,2.155102924628651,1.799903710426781,1.885288136917615,0.39618373891747,0.5532910836606045,0.368860722440403
p_B1,3.7534342618284646,2.896168411904679,5.931352907580784,3.4522327469903775,3.4522327469903775,2.896168411904679
p_B5,1.7670714605932065,1.9110341514722062,1.1912206970772097,0.3274445518032141,1.388816547303287,0.3274445518032141
m_2_L,0.0,0.5845471148579859,0.0,0.0,0.0,0.0
m_2_B1,0.0,1.9699536951256646,0.0,0.0,0.0,0.0
m_2_B5,0.0,0.5272551942552297,0.0,0.0,0.0,0.0
o_L,0.9524436104728887,2.2084132067008735,0.966398828208755,1.9153536342476771,0.6733392557555589,0.7849809976424906
o_B1,4.68666022230093,4.68666022230093,3.3362665989260862,3.3097882925854027,4.68666022230093,1.5357417677596263
o_B5,0.707054075197988,0.769274833815411,1.1793661974302438,0.3309013071926585,0.6193793698734373,0.7975569968233301
Charge_O,2.6049359375377934,1.0031430318468528,1.3833953899180584,0.567902635926153,0.9031857190649564,2.0269569595973285
Charge_next_O,2.946647554363926,2.5243391883102375,1.5585960105256715,1.693449684261259,1.4798932363241941,1.9100130488206366
Charge_o_1,1.7739942130023092,2.743736215337563,1.7498473160592365,2.7218827821475644,1.4989751452409026,1.4629022367818458
Charge_m_1,0.6421915987274402,1.6789410730230405,0.16823853450608844,1.662598474021555,0.30782001793017877,1.2675451894616507
Charge_p,2.7687836285591656,0.4356861828696233,0.3689167368359852,2.379423342454964,2.3416174757634365,0.16289822595827375
Charge_m_2,0.8611559988170072,2.119533885323043,0.21374828246963107,0.5818681036469912,0.6674020619521194,0.28846890424810234
Charge_o_2,2.913812962848973,1.419131995930659,0.16474503275341498,0.216474167023922,2.781715741916603,1.4652572113581825
HOMO,2.033207197867229,1.7543435699100032,1.671794386509731,0.9892028195696574,0.9892028195696574,1.9853425453074056
MolLogP,2.2355058281563585,2.012135871841818,2.9436917635308775,1.7024119978836176,1.904959331151887,1.696501898767778
MolWt,0.9910017885146764,3.100257050728293,2.6881462216578678,1.5799367645650324,0.9910017885146764,0.9295130959975826
num_N,0.0,0.7442266119293544,0.0,0.0,0.7442266119293544,0.7442266119293544
num_O,2.4353258502046824,3.247101133606243,0.8117752834015608,0.8117752834015608,0.8117752834015608,1.6235505668031216
num_S,0.0,0.0,0.0,0.0,0.0,2.044078475976047
num_F,0.0,5.935776424326672,5.935776424326672,0.0,0.0,0.0
num_Cl,0.0,0.0,0.0,0.0,0.0,1.825680827798635
num_Br,0.0,2.839993299457388,0.0,0.0,0.0,2.839993299457388
