,SMILES,0,1,2,3,4,5,6,7,8,9,Sum
0,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,0.0,5.677933694909104,6.956375440379453,4.492866480021449,5.89350954458333,5.170335676595809,3.675574962454148,6.397761901872055,6.570317193909486,4.446372928548638,49.28104782327348
1,C=CCc1ccc(O)c(OC)c1,5.677933694909104,0.0,4.007988708157869,5.036153392694429,0.9266070469743203,2.243054465994578,4.466133468964193,3.917197433768821,4.136117921871427,2.3568798313183557,32.7680659646531
2,COc1ccc(O)cc1,6.956375440379453,4.007988708157869,0.0,5.251356345375812,3.9355168733617605,3.3053198012126916,5.804697191968927,1.4598510421736917,2.1923153778393454,2.9272147844895353,35.840635564959086
3,COc1ccc(O)c(C(C)(C)C)c1,4.492866480021449,5.036153392694429,5.251356345375812,0.0,5.053171291483778,4.55257306928804,2.909579595589022,5.46620034427312,5.1233730987689645,3.366829944363901,41.25210356185852
4,COc1cc(C)ccc1O,5.89350954458333,0.9266070469743203,3.9355168733617605,5.053171291483778,0.0,2.1049547113933875,4.468683919057755,3.9907051608837154,4.379244517449917,2.4530800837432576,33.20547314893122
5,Cc1ccc(O)c(C)c1,5.170335676595809,2.243054465994578,3.3053198012126916,4.55257306928804,2.1049547113933875,0.0,3.508779854168659,3.330577128891289,3.8827486633737305,1.645384942937364,29.743728313855545
6,Cc1ccc(O)c(C(C)(C)C)c1,3.675574962454148,4.466133468964193,5.804697191968927,2.909579595589022,4.468683919057755,3.508779854168659,0.0,5.8124934630006475,5.942144477421906,3.2494656599053764,39.837552592530635
7,CC(=O)Nc1ccc(O)cc1,6.397761901872055,3.917197433768821,1.4598510421736917,5.46620034427312,3.9907051608837154,3.330577128891289,5.8124934630006475,0.0,2.3405967436921236,2.840350084756639,35.555733303312095
8,Oc1ccc(OCc2ccccc2)cc1,6.570317193909486,4.136117921871427,2.1923153778393454,5.1233730987689645,4.379244517449917,3.8827486633737305,5.942144477421906,2.3405967436921236,0.0,3.062547595329799,37.6294055896567
9,Average,4.446372928548638,2.3568798313183557,2.9272147844895353,3.366829944363901,2.4530800837432576,1.645384942937364,3.2494656599053764,2.840350084756639,3.062547595329799,0.0,26.348125855392865
